"iso_code","iso_code_2","continent","region","income_level","country","location","date","epi_cases_total","epi_cases_total_100k","epi_cases_last_7_days","epi_cases_last_7_days_100k","epi_cases_last_24_hours","epi_deaths_total","epi_deaths_total_100k","epi_deaths_last_7_days","epi_deaths_last_7_days_100k","epi_deaths_last_24_hours","owd_total_cases","owd_new_cases","owd_new_cases_smoothed","owd_total_deaths","owd_new_deaths","owd_new_deaths_smoothed","owd_total_cases_per_million","owd_new_cases_per_million","owd_new_cases_smoothed_per_million","owd_total_deaths_per_million","owd_new_deaths_per_million","owd_new_deaths_smoothed_per_million","owd_reproduction_rate","owd_icu_patients","owd_icu_patients_per_million","owd_hosp_patients","owd_hosp_patients_per_million","owd_weekly_icu_admissions","owd_weekly_icu_admissions_per_million","owd_weekly_hosp_admissions","owd_weekly_hosp_admissions_per_million","owd_new_tests","owd_total_tests","owd_total_tests_per_thousand","owd_new_tests_per_thousand","owd_new_tests_smoothed","owd_new_tests_smoothed_per_thousand","owd_positive_rate","owd_tests_per_case","owd_tests_units","owd_total_vaccinations","owd_people_vaccinated","owd_people_fully_vaccinated","owd_total_boosters","owd_new_vaccinations","owd_new_vaccinations_smoothed","owd_total_vaccinations_per_hundred","owd_people_vaccinated_per_hundred","owd_people_fully_vaccinated_per_hundred","owd_total_boosters_per_hundred","owd_new_vaccinations_smoothed_per_million","owd_stringency_index","owd_population","owd_population_density","owd_median_age","owd_aged_65_older","owd_aged_70_older","owd_gdp_per_capita","owd_extreme_poverty","owd_cardiovasc_death_rate","owd_diabetes_prevalence","owd_female_smokers","owd_male_smokers","owd_handwashing_facilities","owd_hospital_beds_per_thousand","owd_life_expectancy","owd_human_development_index","owd_excess_mortality_cumulative_absolute","owd_excess_mortality_cumulative","owd_excess_mortality","owd_excess_mortality_cumulative_per_million","imf_covidsurge","imf_procurement","imf_totalsupplies","imf_fullyvacc","imf_delivery_max","imf_delivery_avg","imf_target_delivery","imf_diagnostics","imf_genomic","imf_delta","imf_vaccdelivery_gap","imf_diagnostics_gap","imf_genomic_gap","imf_expectedcoverage","imf_procurement_bilateral","imf_procurement_donation","imf_procurement_covax","imf_procurement_other","imf_expectedcoverage_gap","imf_expectedcoverage_gap_doses","imf_vacc_atleastone","imf_total_admin","imf_ratio_admin","imf_target_delivery_70","imf_procurement_gap_70","imf_procurement_gap_doses_70","imf_amc92","imf_archetype","imf_fullyvacc_population","imf_total_delivery","imf_total_administered","ivb_total_vaccination","ivb_persons_vaccinated_1plus_dose","ivb_total_vaccinations_per100","ivb_persons_vaccinated_1plus_dose_per100","ivb_persons_fully_vaccinated","ivb_persons_fully_vaccinated_per100","ivb_vaccines_used","ivb_first_vaccine_date","ivb_number_vaccines_types_used"
"AFG","AF","Asia","EMRO","LIC","Afghanistan","Afghanistan",11/4/2021 0:00:00,156363.00,401.66,197.00,0.50,40.00,7284.00,18.71,16.00,0.04,0.00,156363.00,40.00,28.14,7284.00,0.00,2.28,3925.22,1.00,0.70,182.85,0.00,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39835428.00,54.42,18.60,2.58,1.33,1803.98,,597.02,9.59,,,37.74,0.50,64.83,0.51,,,,,0.05,32.00,6.59,6.38,0.18,0.17,1.15,0.01,0.05,0.00,0.99,0.99,4.94,20.00,0.00,2.00,30.00,0.00,50.00,39.79,8.52,4.27,64.80,0.52,37.99,30.30,1.00,"2 - Connect",2.54,5.25,3.40,3398410.00,848598.00,8.73,2.18,2549812.00,6.55,"Beijing CNBG - BBIBP-CorV,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/22/2021 0:00:00,4.00
"AGO","AO","Africa","AFRO","LMC","Angola","Angola",11/4/2021 0:00:00,64583.00,196.50,357.00,1.08,50.00,1718.00,5.22,13.00,0.04,2.00,64583.00,50.00,51.00,1718.00,2.00,1.85,1903.21,1.47,1.50,50.62,0.05,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33933611.00,23.89,16.80,2.40,1.36,5819.49,,276.04,3.94,,,26.66,,61.15,0.58,,,,,0.21,60.00,10.85,5.30,0.54,0.21,1.08,3.53,1.46,0.00,0.86,,3.53,22.00,9.00,2.00,30.00,20.00,48.00,32.59,14.27,9.80,90.31,0.50,10.06,6.80,1.00,"3 - Leverage",1.80,7.36,6.65,6647925.00,4846094.00,20.22,14.74,1801831.00,5.48,"SII - Covishield",3/10/2021 0:00:00,1.00
"ALB","AL","Europe","EURO","UMC","Albania","Albania",11/4/2021 0:00:00,187363.00,6510.63,3490.00,121.27,570.00,2944.00,102.30,42.00,1.45,4.00,187363.00,570.00,498.57,2944.00,4.00,6.00,65216.60,198.40,173.54,1024.73,1.39,2.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2872934.00,104.87,38.00,13.18,8.64,11803.43,1.10,304.19,10.08,7.10,51.20,,2.89,78.57,0.79,,,,,0.73,36.00,36.61,31.28,0.61,0.17,0.23,1.07,0.01,0.00,0.05,,4.98,38.00,28.00,2.00,6.00,0.00,32.00,1.79,35.68,33.53,91.58,0.31,34.32,2.00,0.00,"2 - Connect",0.89,2.10,1.92,1917469.00,1023832.00,66.60,35.97,893637.00,31.40,"AstraZeneca - Vaxzevria,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield,Sinovac - CoronaVac",1/13/2021 0:00:00,5.00
"AND","AD","Europe","EURO","HIC","Andorra","Andorra",11/4/2021 0:00:00,15618.00,20213.55,113.00,146.25,41.00,130.00,168.25,0.00,0.00,0.00,15618.00,46.00,16.14,130.00,0.00,0.00,201902.94,594.66,208.68,1680.58,0.00,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77354.00,163.75,,,,,,109.13,7.97,29.00,37.80,,,83.73,0.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,102692.00,54383.00,132.90,71.39,48309.00,63.41,"AstraZeneca - Vaxzevria,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",1/20/2021 0:00:00,3.00
"ARE","AE","Asia","EMRO","HIC","United Arab Emirates","United Arab Emirates",11/4/2021 0:00:00,740209.00,7484.11,555.00,5.61,73.00,2137.00,21.60,2.00,0.02,0.00,740209.00,73.00,79.28,2137.00,0.00,0.28,74086.96,7.30,7.93,213.89,0.00,0.02,,,,,,,,,,"212021","94367752","9445.197","21.221","275863","27.611","0","3479.3","tests performed",21248655.00,9712427.00,8713491.00,2822737.00,29589.00,33473.00,212.68,97.21,87.21,28.25,3350.00,,9991083.00,112.44,34.00,1.14,0.52,67293.48,,317.84,17.26,1.20,37.40,,1.20,77.97,0.89,,,,,0.05,97.00,116.80,87.20,1.54,0.34,,27.61,0.34,0.00,,,4.65,121.00,96.00,0.00,1.00,0.00,,,97.20,106.34,91.04,,0.00,0.00,0.00,"0 - High Income *",8.71,23.34,21.24,21172758.00,989050.00,214.07,10.00,,,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Pfizer BioNTech - Comirnaty,SII - Covishield",12/14/2020 0:00:00,5.00
"ARG","AR","South America","AMRO","UMC","Argentina","Argentina",11/4/2021 0:00:00,5292549.00,11710.27,8064.00,17.84,1264.00,116029.00,256.72,140.00,0.31,19.00,5293989.00,1440.00,1130.71,116055.00,26.00,19.85,116081.42,31.57,24.79,2544.74,0.57,0.43,,,,,,,,,,,,,,,,,,,61040687.00,34791128.00,26363475.00,,552352.00,259868.00,133.84,76.29,57.81,,5698.00,,45605823.00,16.17,31.90,11.19,7.44,18933.90,0.60,191.03,5.50,16.20,27.70,,5.00,76.67,0.84,,,,,0.10,147.00,81.47,57.81,0.93,0.62,,9.26,0.18,1.89,,,4.80,118.00,114.00,4.00,7.00,22.00,,,76.29,66.92,82.13,0.01,0.00,0.00,0.00,"4 - Strengthen",26.36,74.31,61.03,59560867.00,33866392.00,131.78,74.93,25907089.00,57.32,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,CanSino - Convidecia,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Pfizer BioNTech - Comirnaty,SII - Covishield",12/29/2020 0:00:00,7.00
"ARM","AM","Asia","EURO","UMC","Armenia","Armenia",11/4/2021 0:00:00,316839.00,10692.33,12293.00,414.85,1835.00,6582.00,222.12,350.00,11.81,50.00,315004.00,2330.00,1793.42,6532.00,41.00,49.00,106128.84,785.00,604.22,2200.71,13.81,16.50,,,,,,,,,,,"2145909","722.984",,"13969","4.706","0.128","7.8","tests performed",,,,,,,,,,,,,2968128.00,102.93,35.70,11.23,7.57,8787.58,1.80,341.01,7.11,1.50,52.10,94.04,4.20,75.09,0.77,,,,,1.25,28.00,12.94,7.07,0.55,0.27,1.01,2.45,0.05,0.00,0.75,,4.94,21.00,20.00,3.00,5.00,0.00,49.00,2.90,15.72,11.41,88.11,0.49,41.54,2.50,0.00,"2 - Connect",0.21,0.76,0.67,709345.00,497971.00,23.90,16.80,211374.00,7.13,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Moderna - Spikevax,Sinovac - CoronaVac",6/16/2021 0:00:00,5.00
"ATG","AG","North America","AMRO","HIC","Antigua and Barbuda","Antigua and Barbuda",11/4/2021 0:00:00,4072.00,4158.11,36.00,36.76,3.00,104.00,106.19,2.00,2.04,2.00,4072.00,3.00,4.57,104.00,2.00,0.28,41244.63,30.38,46.30,1053.39,20.25,2.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98728.00,231.84,32.10,6.93,4.63,21490.94,,191.51,13.17,,,,3.80,77.02,0.77,,,,,1.00,107.00,75.33,50.75,1.28,0.28,,,1.64,0.00,,,3.34,88.00,0.00,35.00,31.00,41.00,,,56.99,53.88,71.52,0.14,0.00,0.00,0.00,"0 - High Income *",0.05,0.14,0.10,105937.00,56114.00,108.17,57.30,49823.00,50.87,"AstraZeneca - Vaxzevria,Beijing CNBG - BBIBP-CorV,Gamaleya - Gam-Covid-Vac,Janssen - Ad26.COV 2-S,Pfizer BioNTech - Comirnaty,SII - Covishield",2/19/2021 0:00:00,6.00
"AUS","AU","Oceania","WPRO","HIC","Australia","Australia",11/4/2021 0:00:00,175813.00,689.46,9960.00,39.05,1573.00,1781.00,6.98,85.00,0.33,13.00,177393.00,1580.00,1371.85,1795.00,14.00,12.42,6878.83,61.26,53.19,69.60,0.54,0.48,,,,,,,,,,"160466","43996749","1706.08","6.222","155872","6.044","0.009","113.6","tests performed",36366495.00,19218733.00,17033089.00,114673.00,181833.00,171381.00,141.02,74.53,66.05,0.44,6646.00,"51.39",25788217.00,3.20,37.90,15.50,10.12,44648.71,0.50,107.79,5.07,13.00,16.50,,3.84,83.44,0.94,,,,,4.09,495.00,77.16,66.05,1.14,0.72,,6.04,22.20,99.69,,,,119.00,494.00,0.00,1.00,0.00,,,74.52,70.51,91.37,,0.00,0.00,0.00,"0 - High Income *",17.03,39.80,36.36,35629967.00,19029312.00,139.72,74.62,16469355.00,64.58,"AstraZeneca - Vaxzevria,Novavax - Covavax,Pfizer BioNTech - Comirnaty",2/21/2021 0:00:00,3.00
"AUT","AT","Europe","EURO","HIC","Austria","Austria",11/4/2021 0:00:00,853310.00,9586.60,42988.00,482.95,8622.00,11136.00,125.10,68.00,0.76,10.00,856002.00,8594.00,6095.42,11419.00,19.00,14.71,94658.32,950.34,674.04,1262.73,2.10,1.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"57.41",9043072.00,106.74,44.40,19.20,13.74,45436.68,0.70,145.18,6.35,28.40,30.90,,7.37,81.54,0.92,,,,,1.48,319.00,99.90,62.38,1.01,0.23,,42.76,7.51,44.90,,,,121.00,0.00,0.00,0.00,319.00,,,65.55,64.16,64.22,0.05,0.00,0.00,0.00,"0 - High Income *",5.64,18.06,11.60,11174343.00,5905032.00,125.50,66.34,5269311.00,62.87,"AstraZeneca - Vaxzevria,Janssen - Ad26.COV 2-S,Moderna - Spikevax,Pfizer BioNTech - Comirnaty",12/30/2020 0:00:00,4.00
